Rk,Player,PTS,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Luka Dončić,73,2024-01-26,24-332,DAL,@,ATL,W 148-143,*,45,25,33,0.758,17,20,0.85,8,13,0.615,15,16,0.938,0.912,0,10,10,7,1,0,4,1,73,64,20.6,13,G-F,doncilu01
2,Joel Embiid,70,2024-01-22,29-312,PHI,,SAS,W 133-123,*,37,24,41,0.585,23,39,0.59,1,2,0.5,21,23,0.913,0.685,9,9,18,5,1,1,1,2,70,62.5,32.6,11,C,embiijo01
3,Giannis Antetokounmpo,64,2023-12-13,29-007,MIL,,IND,W 140-126,*,37,20,28,0.714,20,25,0.8,0,3,0,24,32,0.75,0.76,3,11,14,3,4,1,4,1,64,57,23.5,29,F-G,antetgi01
4,Devin Booker,62,2024-01-26,27-088,PHO,@,IND,L 131-133,*,38,22,37,0.595,16,25,0.64,6,12,0.5,12,13,0.923,0.726,0,5,5,4,1,2,4,2,62,46.4,14.1,1,G,bookede01
5,Karl-Anthony Towns,62,2024-01-22,28-068,MIN,,CHO,L 125-128,*,38,21,35,0.6,11,20,0.55,10,15,0.667,10,14,0.714,0.753,3,5,8,2,0,0,7,2,62,41.5,10,0,C-F,townska01
6,Stephen Curry,60,2024-02-03,35-326,GSW,@,ATL,L 134-141 (OT),*,41,22,38,0.579,12,15,0.8,10,23,0.435,6,6,1,0.738,1,5,6,4,0,1,2,1,60,45.5,22.2,-1,G,curryst01
7,Giannis Antetokounmpo,54,2023-11-09,28-338,MIL,@,IND,L 124-126,*,36,19,25,0.76,19,24,0.792,0,1,0,16,18,0.889,0.82,2,10,12,3,0,0,8,4,54,40.2,10.1,6,F-G,antetgi01
8,Devin Booker,52,2024-01-19,27-081,PHO,@,NOP,W 123-109,*,37,18,30,0.6,12,19,0.632,6,11,0.545,10,10,1,0.756,1,3,4,5,0,0,1,0,52,42.3,19.7,12,G,bookede01
9,Joel Embiid,51,2023-12-20,29-279,PHI,,MIN,W 127-113,*,36,17,25,0.68,17,24,0.708,0,1,0,17,18,0.944,0.775,2,10,12,3,2,1,2,5,51,45.1,20.6,4,C,embiijo01
10,Zach LaVine,51,2023-10-28,28-232,CHI,@,DET,L 102-118,*,37,19,33,0.576,12,20,0.6,7,13,0.538,6,8,0.75,0.698,2,3,5,0,1,0,4,2,51,33.2,14.9,-8,G-F,lavinza01
11,Tyrese Maxey,51,2024-02-01,23-089,PHI,@,UTA,W 127-124,*,41,17,27,0.63,10,18,0.556,7,9,0.778,10,11,0.909,0.801,0,2,2,1,0,1,0,4,51,38.9,11.8,-2,G,maxeyty01
12,Jalen Brunson,50,2023-12-15,27-106,NYK,@,PHO,W 139-122,*,35,17,23,0.739,8,14,0.571,9,9,1,7,9,0.778,0.927,1,5,6,9,5,0,2,0,50,51.4,34.1,7,G,brunsja01
13,Luka Dončić,50,2023-12-25,24-300,DAL,@,PHO,W 128-114,*,44,15,25,0.6,7,9,0.778,8,16,0.5,12,12,1,0.826,1,5,6,15,4,3,4,2,50,52.5,30.1,16,G-F,doncilu01
14,Joel Embiid,50,2023-12-06,29-265,PHI,@,WAS,W 131-126,*,38,19,29,0.655,18,27,0.667,1,2,0.5,11,13,0.846,0.72,6,7,13,7,1,1,6,2,50,42.6,14.9,8,C,embiijo01
15,Tyrese Maxey,50,2023-11-12,23-008,PHI,,IND,W 137-126,*,39,20,32,0.625,13,21,0.619,7,11,0.636,3,3,1,0.75,3,4,7,5,0,3,2,2,50,41.7,20.7,17,G,maxeyty01
16,Desmond Bane,49,2023-12-06,25-164,MEM,@,DET,W 116-102,*,36,19,31,0.613,15,23,0.652,4,8,0.5,7,7,1,0.719,1,5,6,8,1,2,3,2,49,41.3,19.8,-1,G,banede01
17,Luka Dončić,49,2023-10-27,24-241,DAL,,BRK,W 125-120,*,36,16,25,0.64,7,11,0.636,9,14,0.643,8,10,0.8,0.833,1,9,10,7,0,0,0,1,49,45,28.9,9,G-F,doncilu01
18,Jerami Grant,49,2024-02-08,29-333,POR,,DET,L 122-128 (OT),*,45,14,29,0.483,11,23,0.478,3,6,0.5,18,20,0.9,0.648,2,6,8,6,0,0,4,5,49,34.9,2.8,-5,F,grantje01
19,Giannis Antetokounmpo,48,2024-01-06,29-031,MIL,@,HOU,L 108-112,*,39,16,25,0.64,15,23,0.652,1,2,0.5,15,21,0.714,0.701,3,14,17,2,0,1,2,4,48,39.3,15.8,-1,F-G,antetgi01
